,Series_reference,Period,Data_value,Supp,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,Zeros,Suare_of_magnitude
62,ECTA.S19A9,2015.03,72320.3,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
63,ECTA.S19A9,2016.03,76488.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
64,ECTA.S19A9,2017.03,81334.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
65,ECTA.S19A9,2018.03,87684.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
66,ECTA.S19A9,2019.03,91445.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
67,ECTA.S19A9,2020.03,93968.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
68,ECTA.S19A9,2021.03,89916.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
69,ECTA.S19A9,2022.03,94824.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
70,ECTA.S19A9,2023.03,105917.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
71,ECTA.S19A9,2024.03,109993.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
72,ECTA.S19AW,2001.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
73,ECTA.S19AW,2002.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
74,ECTA.S19AW,2003.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
75,ECTA.S19AW,2004.03,16307.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
76,ECTA.S19AW,2005.03,18481.2,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
77,ECTA.S19AW,2006.03,20210.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
78,ECTA.S19AW,2007.03,22272.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
79,ECTA.S19AW,2008.03,23982.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
